#Datasources: PIPinZ-0424-225458 [2024-04-24 22:54:58]
#Produced on 2024-04-24 22:55:34 by Analysis Result Viewer 2023.0.0.50349 Zuken GmbH - Germany

ProbeID;Data Source;Date;Note;Net;Pin;Probe Set;
1;PIPinZ-0424-225458;4/24/2024 10:54:58 PM;;Power_GND;IC1 (8);Impedance;

1_f;1_Z
8.2000e+06;1.4728e+01
8.3000e+06;1.4616e+01
8.4000e+06;1.4506e+01
8.5000e+06;1.4397e+01
8.6000e+06;1.4289e+01
8.7000e+06;1.4183e+01
8.8000e+06;1.4077e+01
8.9000e+06;1.3972e+01
9.0000e+06;1.3869e+01
9.1000e+06;1.3766e+01
9.2000e+06;1.3664e+01
9.3000e+06;1.3563e+01
9.4000e+06;1.3464e+01
9.5000e+06;1.3365e+01
9.6000e+06;1.3267e+01
9.7000e+06;1.3170e+01
9.8000e+06;1.3073e+01
9.9000e+06;1.2978e+01
1.0000e+07;1.2883e+01
1.1000e+07;1.1977e+01
1.2000e+07;1.1134e+01
1.3000e+07;1.0344e+01
1.4000e+07;9.5963e+00
1.5000e+07;8.8839e+00
1.6000e+07;8.2009e+00
1.7000e+07;7.5420e+00
1.8000e+07;6.9029e+00
1.9000e+07;6.2800e+00
2.0000e+07;5.6698e+00
2.1000e+07;5.0695e+00
2.2000e+07;4.4763e+00
2.3000e+07;3.8878e+00
2.4000e+07;3.3015e+00
2.5000e+07;2.7151e+00
2.6000e+07;2.1263e+00
2.7000e+07;1.5328e+00
2.8000e+07;9.3223e-01
2.9000e+07;3.2212e-01
3.0000e+07;-3.0020e-01
3.1000e+07;-9.3766e-01
3.2000e+07;-1.5935e+00
3.3000e+07;-2.2712e+00
3.4000e+07;-2.9752e+00
3.5000e+07;-3.7102e+00
3.6000e+07;-4.4821e+00
3.7000e+07;-5.2979e+00
3.8000e+07;-6.1663e+00
3.9000e+07;-7.0984e+00
4.0000e+07;-8.1084e+00
4.1000e+07;-9.2151e+00
4.2000e+07;-1.0445e+01
4.3000e+07;-1.1834e+01
4.4000e+07;-1.3438e+01
4.5000e+07;-1.5347e+01
4.6000e+07;-1.7710e+01
4.7000e+07;-2.0815e+01
4.8000e+07;-2.5224e+01
4.9000e+07;-3.0550e+01
5.0000e+07;-2.7599e+01
5.1000e+07;-2.2669e+01
5.2000e+07;-1.9302e+01
5.3000e+07;-1.6860e+01
5.4000e+07;-1.4966e+01
5.5000e+07;-1.3426e+01
5.6000e+07;-1.2133e+01
5.7000e+07;-1.1021e+01
5.8000e+07;-1.0046e+01
5.9000e+07;-9.1802e+00
6.0000e+07;-8.4017e+00
6.1000e+07;-7.6951e+00
6.2000e+07;-7.0486e+00
6.3000e+07;-6.4531e+00
6.4000e+07;-5.9012e+00
6.5000e+07;-5.3873e+00
6.6000e+07;-4.9064e+00
6.7000e+07;-4.4547e+00
6.8000e+07;-4.0290e+00
6.9000e+07;-3.6263e+00
7.0000e+07;-3.2445e+00
7.1000e+07;-2.8813e+00
7.2000e+07;-2.5352e+00
7.3000e+07;-2.2045e+00
7.4000e+07;-1.8879e+00
7.5000e+07;-1.5843e+00
7.6000e+07;-1.2926e+00
7.7000e+07;-1.0119e+00
7.8000e+07;-7.4137e-01
7.9000e+07;-4.8027e-01
8.0000e+07;-2.2794e-01
8.1000e+07;1.6214e-02
8.2000e+07;2.5274e-01
8.3000e+07;4.8212e-01
8.4000e+07;7.0482e-01
8.5000e+07;9.2123e-01
8.6000e+07;1.1317e+00
8.7000e+07;1.3367e+00
8.8000e+07;1.5364e+00
8.9000e+07;1.7311e+00
9.0000e+07;1.9212e+00
9.1000e+07;2.1068e+00
9.2000e+07;2.2882e+00
9.3000e+07;2.4656e+00
9.4000e+07;2.6392e+00
9.5000e+07;2.8092e+00
9.6000e+07;2.9758e+00
9.7000e+07;3.1392e+00
9.8000e+07;3.2994e+00
9.9000e+07;3.4566e+00
1.0000e+08;3.6110e+00
1.1000e+08;5.0237e+00
1.2000e+08;6.2568e+00
1.3000e+08;7.3701e+00
1.4000e+08;8.4048e+00
1.5000e+08;9.3926e+00
1.6000e+08;1.0363e+01
1.7000e+08;1.1345e+01
1.8000e+08;1.2380e+01
1.9000e+08;1.3525e+01
2.0000e+08;1.4886e+01
;

